Instance,k,Population,Fitness,Time,Initialization
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leicester.txt,2,100,77,308.88,147.76
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,50,48,10.74,6.97
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,50,48,13.6,6.79
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,50,47,14.05,6.75
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leeds.txt,2,100,80,429.05,165.73
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/newcastle.txt,2,100,86,136.75,77.97
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/newcastle.txt,2,100,86,170.49,76.88
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,50,47,11.89,6.89
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,50,47,13.68,6.93
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,2,200,74,699.48,264.4
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/newcastle.txt,2,100,86,179.83,81.79
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,100,47,19.5,13.51
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/liverpool.txt,2,150,60,313.96,134.86
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,100,48,16.87,14.04
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leicester.txt,2,100,77,397.69,144.93
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,100,47,19.08,13.64
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/newcastle.txt,2,100,87,174.14,77.01
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/liverpool.txt,2,150,58,326.91,141.94
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,2,200,74,751.44,251.52
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,100,47,20.44,14.05
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,100,47,22.56,13.69
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,150,47,30.05,21.2
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,150,47,34.12,21.18
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/york.txt,2,50,68,64.41,27.96
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,150,47,30.88,20.49
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,2,200,73,775.75,257.26
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,150,47,33.15,20.96
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/liverpool.txt,2,150,58,372.54,134.18
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,150,47,32.99,20.87
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/newcastle.txt,2,100,86,179.76,72.02
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,2,200,73,790.33,263.34
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/liverpool.txt,2,150,57,355.92,138.97
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,200,47,42.38,27.74
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,200,47,42.53,28.65
